LABEL,TRANSLATION
"MON","MON"
"TUE","TUE"
"WED","WED"
"THU","THU"
"FRI","FRI"
"SAT","SAT"
"Add recent picks","Add recent picks"
"recent","recent"
"Enter your working hours","Enter your working hours"
"Select a day from the calendar","Select a day from the calendar"
"Day with partial hours","Day with partial hours"
"Day completed","Day completed"
"Weekend","Weekend"
"Legend","Legend"
"Notes","Notes"
"Ask your administrator to link your user to a department to use the timesheet.","Ask your administrator to link your user to a department to use the timesheet."
----------------------,--------PLANNING--------
"Planning","Planning"
----------------------,--------MISSING LOG TIMES--------
"Weekly hours","Weekly hours"
"Total expected hours","Total expected hours"
"Effective hours","Effective hours"
"Difference","Difference"
----------------------,--------HOUR TPYE----------------
"Types of working time","Types of working time"
"Details of this type","Details of this type"
"Type","Type"
"Type name","Type name"
"This type will be available only for people of this department","This type will be available only for people of this department"
"Are you sure? You will also delete all the hour logs related to this hour type.","Are you sure? You will also delete all the hour logs related to this hour type."
----------------------,--------CLIENTS----------------
"Do you confirm to delete the selected clients and all their jobs and hours?","Do you confirm to delete the selected clients and all their jobs and hours?"
"Client details","Client details"
----------------------,--------MY LOG TIME----------------
"Month","Month"
"Hours","Hours"
"Total time","Total time"
----------------------,--------REPORT----------------
"Abbreviation","Abbreviation"
"Type of hour","Type of hour"
"Download CSV","Download CSV"
"All people ON","All people ON"
"All people OFF","All people OFF"
"Standard","Standard"
"By job","By job"
"By client","By client"
"By person","By person"
"Work report","Work report"
"None","None"
"All jobs ON","All jobs ON"
"All jobs OFF","All jobs OFF"
"Not started","Not started"
"Search","Search"
"Please select a client","Please select a client"
"The range of dates must not cover a range larger than 12 months","The range of dates must not cover a range larger than 12 months"
"Cost","Cost"
"Total cost","Total cost"
"Days","Days"
"Report","Report"
"Date","Date"
"Description","Description"
"Period","Period"
"Share","Share"
----------------------,--------TASKS----------------
"To do lists","To do lists"
"My tasks","My tasks"
"Tasks","Tasks"
"Task","Task"
"to do","TO DO"
"in progress","in progress"
"done","DONE"
"List","List"
"Find task","Find task"
"Expiration","Expiration"
"Are you sure to move to Archive?","Are you sure to move to Archive?"
"You don't have selected any item.","You don't have selected any item."
"Archive","Archive"
"Task name","Task name"
"Open date and time","Open date and time"
"Close date and time","Close date and time"
"Now","Now"
"tbd","tbd"
"Add new","Add new"
"Priority","Priority"
"Text","Text","4.3.5"
"Media","Media","4.3.5"
----------------------,--------DEPARTMENT-------------
"Department info","Department info"
"People","People"
"Flag this if you want this department as default for reports","Flag this if you want this department as default for reports"
"Default","Default"
"Are you sure? All the users of this department must be manually reassigned to another department","Are you sure? All the users of this department must be manually reassigned to another department"
----------------------,--------LISTS-------------
"Lists","Lists"
"ID","ID"
"List name","List name"
"Visibility","Visibility"
"Private","Private"
"Public","Public"
"List details","List details"
"Creation date","Creation date"
"Target user","Target user"
"Select a list","Select a list"
"Target department","Target department"
"Every user of this department can edit tasks in this list","Every user of this department can edit tasks in this list"
----------------------,-------------CHAT--------------
"h","h"
"Hi %s, what have you done today?","Hi %s, what have you done today?"
"Add notes","Add notes"
"Change this log","Change this log"
"Half hour","Half hour"
"1 hour","1 hour"
"1 hour and half","1 hour and half"
"2 hours","2 hours"
"2 hours and half","2 hours and half"
"3 hours","3 hours"
"3 hours and half","3 hours and half"
"4 hours","4 hours"
"4 hours and half","4 hours and half"
"5 hours","5 hours"
"5 hours and half","5 hours and half"
"6 hours","6 hours"
"6 hours and half","6 hours and half"
"7 hours","7 hours"
"7 hours and half","7 hours and half"
"8 hours","8 hours"
"Half day","Half day"
"Whole day","Whole day"
"Here is the form:","Here is the form:"
----------------------,-------------PLANNING--------------
"Add a new task","Add a new task"
"Task","Task"
"Edit a planning for a person","Edit a planning"
"Add a planning for a person","Add a planning"
"Jobs view","Jobs view"
"People view","People view"
"Previous week","Previous week"
"Next week","Next week"
"Use (+) button to add todos in week from %s","Use (+) button to add todos in week from %s"
"You can't insert more hours than %s hours in a day","You can't insert more hours than %s hours in a day"
"ERROR","ERROR"
"You already have a task for this job","You already have a task this week for this job"
"Edit the task","Edit the task"
"Missing task","Missing task"
"Task already present, edit it instead","Task already present, edit it instead"
----------------------,--------------PROFILES-----------------
"User profiles","User profiles"
"Profiles","Profiles"
"Profile info","Profile info"
"Profile #ID","Profile #ID"
